nohup: ignoring input
2026-03-04 15:45:53.836 | INFO     | __main__:main:88 - Started writer 0
2026-03-04 15:45:54.000 | INFO     | __main__:writer:45 - Writer 0 started, pid: 12184
2026-03-04 15:45:54.079 | SUCCESS  | __main__:writer:69 - Writer 0: 写入成功 https://www.doordash.com/store/horne-pecan-company---1305-southerfield-rd-americus-35648639/
2026-03-04 15:45:54.174 | SUCCESS  | __main__:writer:69 - Writer 0: 写入成功 https://www.doordash.com/store/dunkin'-jackson-1653362/
2026-03-04 15:45:54.229 | SUCCESS  | __main__:writer:69 - Writer 0: 写入成功 https://www.doordash.com/store/barberitos-columbus-26270291/
2026-03-04 15:45:54.311 | SUCCESS  | __main__:writer:69 - Writer 0: 写入成功 https://www.doordash.com/store/one-zo-boba-tea-evans-evans-32325017/
2026-03-04 15:45:54.347 | SUCCESS  | __main__:writer:69 - Writer 0: 写入成功 https://www.doordash.com/store/chick-fil-a-cartersville-939597/
2026-03-04 15:45:54.420 | SUCCESS  | __main__:writer:69 - Writer 0: 写入成功 https://www.doordash.com/convenience/store/al-g's-liquor-store-marietta-23374194/
2026-03-04 15:45:54.455 | SUCCESS  | __main__:writer:69 - Writer 0: 写入成功 https://www.doordash.com/store/crumbl-warner-robins-25093347/
2026-03-04 15:45:54.547 | SUCCESS  | __main__:writer:69 - Writer 0: 写入成功 https://www.doordash.com/convenience/store/dollar-general-mcdonough-1800653/
2026-03-04 15:45:54.641 | SUCCESS  | __main__:writer:69 - Writer 0: 写入成功 https://www.doordash.com/store/papa-johns-pizza-blairsville-24564325/
2026-03-04 15:45:54.763 | SUCCESS  | __main__:writer:69 - Writer 0: 写入成功 https://www.doordash.com/convenience/store/jd-sports-savannah-26073608/
2026-03-04 15:45:54.828 | SUCCESS  | __main__:writer:69 - Writer 0: 写入成功 https://www.doordash.com/convenience/store/silly-willy-macon-30846085/
2026-03-04 15:45:54.907 | SUCCESS  | __main__:writer:69 - Writer 0: 写入成功 https://www.doordash.com/store/domino's-swainsboro-33929513/
2026-03-04 15:45:54.942 | SUCCESS  | __main__:writer:69 - Writer 0: 写入成功 https://www.doordash.com/store/crust-pizza-bar-riverdale-25219035/
2026-03-04 15:45:55.010 | SUCCESS  | __main__:writer:69 - Writer 0: 写入成功 https://www.doordash.com/store/plant-a-flower-atlanta-22968593/
2026-03-04 15:45:55.059 | SUCCESS  | __main__:writer:69 - Writer 0: 写入成功 https://www.doordash.com/store/grovetown-seafood-market-and-restaurant-grovetown-27869485/
2026-03-04 15:45:55.106 | SUCCESS  | __main__:writer:69 - Writer 0: 写入成功 https://www.doordash.com/store/planet-smoothie-suwanee-412582/
